年龄 身高男   身高女   体重男    体重女 
2        86      86 12.34 11.80 
3        94      94 14.62 14.10 
4      102 101.6 16.69 15.96 
5      109 108.4 18.67 17.69 
6      116 114.6 20.69 19.62 
7      121 120.6 22.86 21.84 
8      127 126.4 25.30 24.84 
9      132 132.2 28.13 28.46 
10    137 138.3 31.44 32.55 
11    143 144.8 35.30 36.96 
12    149 151.5 39.78 41.53 
13    156 157.1 44.95 46.10 
14    163 160.2 50.77 50.28 
15    169 161.8 56.71 53.08 
16    173 162.4 62.10 55.86 
17 176.3 163.1 66.31 56.69 
18 176.8 163.7 68.88 56.82 
19 177.3 164.1 70.21 57.10 
20 177.8 164.7 72.50 57.26 
21 178.3 166.0 74.60 58.21 
22 178.8 167.2 75.71 59.97 
23 179.3 168.1 76.12 60.01 
24 179.8 169.7 78.92 60.89 
25 181.3 170.8 80.15 61.75
